議案屆次別,大會類別,類別,選區,議員,質詢內容,相關局處,質詢日期,議事錄頁碼開頭,發言開頭2句話,關鍵字（法案名字、簡稱、地名）
第3屆第1次,定期會,市政總質詢,第六選區,林炳利,請市府為本市鄰長編列交通補助費。（書面質詢）,市長,2019/4/18,p.92,請市府為本市鄰長編列交通補助費,鄰長、交通補助費
第3屆第1次,定期會,市政總質詢,第六選區,林炳利,請市府放寬對於本市65歲以上老人健保費補助。（書面質詢）,市長,2019/4/18,p.92,請市府放寬對於本市65 歲以上老人健保費補助,65歲以上、健保費、補助
第3屆第1次,定期會,市政總質詢,第六選區,林炳利,安南區2項雨水下水道改善工程多次流標請市府積極改善。（書面質詢）,市長,2019/4/18,p.92,安南區2 項雨水下水道改善工程多次流標請市府積極改善,安南區、長溪路、同安路、雨水下水道
第3屆第1次,定期會,市政總質詢,第一選區,趙昆原,要求工務局落實一區一共融式公園，建議於鹽水公四用地應設置。,工務局,2019/4/18,p.78,首先，我們來看這張圖片，本席關心的是，一區一個公園,工務局、共融式公園、鹽水、公四、月津
第3屆第1次,定期會,市政總質詢,第一選區,趙昆原,要求溪北地區建設運動中心及更新運動場館設施。,教育局,2019/4/18,p.82,教育局長，臺南市永華國民運動中心已經開幕了，以後臺南還有規畫要做其他運動中心嗎？,國民運動中心、溪北、籃球場、游泳池、桌球、羽球
第3屆第1次,定期會,市政總質詢,第一選區,趙昆原,解決太子國中招生及太子國中籃球場地木質地板設置問題。,教育局,2019/4/18,p.84,太子國中總共有多少學生？,太子國中、男籃、女籃、PU、籃球、招生
第3屆第1次,定期會,市政總質詢,第一選區,趙昆原,建議在學校增設清淨機幫助空氣改善。,教育局,2019/4/18,p.86,家長希望局長可以在學校增設清淨機幫助空氣改善。,PM2.5、空汙、清淨機
第3屆第1次,定期會,市政總質詢,第一選區,趙昆原,建議開發新營轉運站及新營糖廠。,都發局,2019/4/18,p.86,請教經發局，新營客運站預計今年5月可以完工吧？,新營轉運站、新營客運站、新營糖廠、台糖
第3屆第1次,定期會,市政總質詢,第一選區,趙昆原,新營糖廠周邊自行車道建議轉為鐵道文化發展。,都發局,2019/4/18,p.89,局長，你有時間看一下，你們當時用混凝土做自行車道，腳踏車都沒在騎,自行車、腳踏車、鐵路、新營糖廠、鐵路、鐵道
第3屆第1次,定期會,市政總質詢,第一選區,趙昆原,要求尖山埤水庫保安林地一次解編，不要分六期。,市長,2019/4/18,p.90,局長，你那天有聽到保安林地，222公頃是私人土地,保安林地、尖山埤水庫、解編、
第3屆第1次,定期會,市政總質詢,第十選區,曾信凱,抗議市長調降房屋稅政策跳票。,市長,2019/4/19,p.94,因為競選期間你有承諾，若當選要馬上凍漲和調降108年的房屋稅,房屋稅、調降、跳票、追溯、15年
第3屆第1次,定期會,市政總質詢,第十選區,曾信凱,要求65歲以上老人免繳健保費。,市長,2019/4/19,p.97,為什麼我們臺南市是六都中唯一65歲以上的老人沒補助健保費,65歲以上、健保費、補助
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,安平港北觀光、南自貿政策進度詢問。,市長,2019/4/19,p.99,你提到安平港要打造北觀光南自貿，這何時要做？,安平港、安平區、南區、觀光、自貿、漁光島
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,希望南區機場非軍事化，減少對民眾的影響。,市長,2019/4/19,p.101,南區現在最大的瓶頸就是無法增加人口來取得大型的開發案,南區、機場、非軍事化
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,台南市區舊棒球場汰舊，建議規劃為青年文創園區。,市長,2019/4/19,p.102,再來就是安南區要蓋一個大型的棒球村,棒球場、青年文創園區、
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,要求65歲以上老人免繳健保費。,市長,2019/4/19,p.104,結果只有我們臺南市65 歲以上都有在繳健保費,65歲以上、健保費、補助
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,抗議市長調降房屋稅政策跳票。,市長,2019/4/19,p.106、p.112,108 年凍漲房屋稅你沒有做到喔！,跳票、房屋稅、調降、追溯、15年
第3屆第1次,定期會,市政總質詢,第十選區,曾信凱,爭取在東區設立第二座國民運動中心,市長,2019/4/19,p.107,所以，今天我在此要向黃市長全力爭取第2 座的國民運動中心,國民運動中心、東區
第3屆第1次,定期會,市政總質詢,第十選區,曾信凱,崇明路榮民之家搬遷後，土地可改做文化特區使用。,都發局,2019/4/19,p.108,再來，崇明路的榮民之家，你知道嗎？,榮民之家、崇明路、文化二館、文化特區
第3屆第1次,定期會,市政總質詢,第十選區,曾信凱,打通並拓寬崇學路，與南大榮譽校區溝通，期望能使交通順暢。,都發局,2019/4/19,p.109,而崇學路要拓寬，打通過來，是不是？,崇學路、榮譽校區、南大
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,質疑台南市政府台北辦公室必要性。,市長,2019/4/19,p.115,我再請教，現在吳堂成的電話是02 開頭的，新聞處處長,台北辦公室
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,郭國文競選團隊成員蘇芷婕稱老闆違反勞基法，要求勞工局深入調查。,勞工局,2019/4/19,p.119,好，請教勞工局長，學生打工要不要加勞保？,郭國文、蘇芷婕、勞基法
第3屆第1次,定期會,市政總質詢,第十選區,曾信凱,委外拖吊場態度差，不應與他們續約。,交通局,2019/4/19,p.123,請問市長，你知道拖吊合約3 年期滿了，這點你清楚嗎？,拖吊場、鬥毆、續約
第3屆第1次,定期會,市政總質詢,第九選區,盧崑福,委外拖吊場態度差。,交通局,2019/4/19,p.125,市長，剛剛曾議員說得很對，拖吊已經民怨四起了,拖吊場、鬥毆、續約
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,公幼登記人數高於招生人數的行政區，應優先設置。,市長,2019/4/19,p.126,我們臺南市的公托、公幼搶破頭，臺南的育兒環境在哪裡呢？,公托、公幼、托育家園
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,詢問永康親子館規劃進度。,都發局,2019/4/19,p.130,臺南近年來慢慢的在設置親子館，可是在永康這個孩子這麼多的行政區，我們都因為找不到場地,永康、親子館
